,SPEND,CLICKS,IMPRESSIONS,SEARCH_IMPRESSION_SHARE,CPC,ELIGIBLE_IMPRESSIONS,lag_SPEND,lag_CLICKS,lag_IMPRESSIONS,lag_ELIGIBLE_IMPRESSIONS,rolling_7_SPEND,rolling_14_SPEND,rolling_7_CLICKS,rolling_14_CLICKS,rolling_7_IMPRESSIONS,rolling_14_IMPRESSIONS,rolling_7_ELIGIBLE_IMPRESSIONS,rolling_14_ELIGIBLE_IMPRESSIONS
2022-05-23,10639.55,1062.0,7284.0,1.65,10.018408662900187,4414.545454545455,6866.06,542.0,3532.0,1984.2696629213483,8714.975714285714,8684.435,970.5714285714286,1045.9285714285713,6674.0,6875.214285714285,3703.092691266428,3782.920332011713
2022-05-24,10464.89,1425.0,9117.0,1.75,7.343782456140352,5209.714285714285,10639.55,1062.0,7284.0,4414.545454545455,8752.91,8698.744285714285,1016.2857142857143,1042.5,6821.285714285715,6882.857142857143,3794.7145060940543,3795.5056700575465
2022-05-25,10372.13,1274.0,8504.0,1.78,8.141389324960754,4777.528089887641,10464.89,1425.0,9117.0,5209.714285714285,8817.84857142857,8723.853571428572,1026.7142857142858,1036.7857142857142,6803.571428571428,6855.5,3821.595418631194,3797.300075255785
2022-05-26,10072.02,1419.0,9201.0,1.78,7.097970401691332,5169.101123595506,10372.13,1274.0,8504.0,4777.528089887641,8928.915714285715,8737.732142857143,1054.2857142857142,1046.0,6917.571428571428,6916.142857142857,3918.0980237590475,3838.735084868965
2022-05-27,9269.21,800.0,5463.0,1.25,11.5865125,4370.4,10072.02,1419.0,9201.0,5169.101123595506,8950.43857142857,8801.74857142857,1009.4285714285714,1018.7857142857143,6657.142857142857,6777.5,3979.815398276422,3866.57471620537
2022-05-28,7764.509999999999,736.0,3884.0,1.34,10.54960597826087,2898.507462686567,9269.21,800.0,5463.0,4370.4,9349.767142857143,8963.839285714286,1036.857142857143,1021.0714285714286,6712.142857142857,6777.5,4117.723725621543,3927.59592594614
2022-05-29,7400.29,593.0,3696.0,1.3199999999999998,12.479409780775716,2800.0000000000005,7764.509999999999,736.0,3884.0,2898.507462686567,9426.085714285715,9052.244285714285,1044.142857142857,1008.7142857142857,6735.571428571428,6743.428571428572,4234.256630918493,3965.600584331233
2022-05-30,10482.44,591.0,3980.0,1.7799999999999998,17.73678510998308,2235.9550561797755,7400.29,593.0,3696.0,2800.0000000000005,9403.641428571427,9059.308571428572,976.8571428571429,973.7142857142857,6263.571428571428,6468.785714285715,3923.029431151968,3813.061061209198
2022-05-31,12570.41,1102.0,7382.0,1.49,11.406905626134302,4954.362416107382,10482.44,591.0,3980.0,2235.9550561797755,9704.429999999998,9228.67,930.7142857142857,973.5,6015.714285714285,6418.5,3886.550592636696,3840.6325493653753
2022-06-01,9283.05,979.0,7469.0,1.65,9.482175689479062,4526.666666666667,12570.41,1102.0,7382.0,4954.362416107382,9548.847142857141,9183.347857142857,888.5714285714286,957.6428571428571,5867.857142857143,6335.714285714285,3850.713246462271,3836.1543325467323
