Date,Spend Actual,Actual CPC,Predicted CPC Actual,Predicted Clicks Actual,ROI Actual
2023-08-31,11109.15,7.526524390243902,7.579301513425951,1465.7221355188583,1200.3026355869733
2023-09-01,11753.91,8.42574193548387,8.126538866858589,1446.3611375729033,392.94477244624613
2023-09-02,7068.360000000001,8.444874551971328,8.477494599750846,833.7793574304063,-66.09998078664012
2023-09-03,6805.16,8.464129353233831,8.735910678662572,778.9869024899232,-263.05891032252566
2023-09-04,11565.64,10.317252453166816,9.806596533359963,1179.3734921851983,-1661.0054243739723
2023-09-05,12523.13,7.996890166028097,7.97237854373927,1570.8147739465342,668.9134239265422
2023-09-06,12795.94,7.685249249249249,7.668754782535077,1668.5811924957677,1217.167027538384
2023-09-07,12735.88,7.183237450648618,7.150414299358808,1781.1387517982073,2222.5098416784513
2023-09-08,12315.02,7.037154285714286,7.177265619158527,1715.8372914508118,2094.9540037090137
2023-09-09,7540.04,7.020521415270019,7.113914650069266,1059.9002617956044,1361.2324546189147
2023-09-10,7261.77,7.105450097847359,7.457648195417499,973.7345889367831,915.8644313085297
2023-09-11,12327.11,8.158246194573131,8.16898460657992,1509.0137383868748,345.9149131072609
2023-09-12,12543.52,7.529123649459783,7.55233773448297,1660.8791133277787,1404.9032949151206
2023-09-13,12699.78,7.701503941782898,7.642525486189335,1661.7255674121775,1255.7520000425193
2023-09-14,12920.3,7.649674363528715,7.708098480544991,1676.1980964060654,1156.77543985989
2023-09-15,11945.24,8.13708446866485,8.069170651040695,1480.3553570228933,487.105605983581
2023-09-16,6317.27,7.405943728018757,7.551576871475723,836.549783908309,708.2566621081587
2023-09-17,9517.0,10.586206896551724,10.133062462697483,939.2027370831499,-1629.3715558501017
2023-09-18,14389.13,8.887665225447806,9.193744994322344,1565.099968390041,-1245.0807535608164
2023-09-19,13005.54,7.5657591623036655,7.565795003800842,1718.9918565684618,1430.9267262794074
2023-09-20,12074.44,7.069344262295081,7.0589754895622745,1710.5088433659846,2290.7845401293107
2023-09-21,11919.32,6.722684715172025,6.823208391348693,1746.87908039168,2751.3496849925887
2023-09-22,12390.72,6.980687323943662,7.026195917827971,1763.5033444712683,2419.563863103329
2023-09-23,8591.64,7.059687756778964,7.211397024177648,1191.39744645799,1413.9743534616136
2023-09-24,8772.04,7.471925042589438,7.815401801561144,1122.4042247255625,654.1543020674708
2023-09-25,12097.02,8.16263157894737,7.975040268580539,1516.8600524387225,641.8999615919911
